title,company,location,salary,posted_date,url,description,source,scraped_at,experience_level,employment_type,applications,company_size
AI Engineer (m/w/d),BMW Group,München,,Heute,https://www.stepstone.de/stellenangebote--AI-Engineer-BMW-Group--8000000.html,"
Entwicklung von AI/ML Lösungen, Python erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703379,Mid level,Vollzeit,20 Bewerber,10.000+ Mitarbeiter
Machine Learning Engineer (m/w/d),Siemens AG,"Munich, Bavaria",€67.000 - €87.000,Vor 2 Tagen,https://www.stepstone.de/stellenangebote--Machine-Learning-Engineer-Siemens-AG--8000001.html,"
Entwicklung von AI/ML Lösungen, TensorFlow erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703386,Mid level,Full-time,53 Bewerber,10.000+ Mitarbeiter
Senior AI Engineer (m/w/d),Infineon Technologies,München,€69.000 - €89.000,Vor 3 Tagen,https://www.stepstone.de/stellenangebote--Senior-AI-Engineer-Infineon-Technologies--8000002.html,"
Entwicklung von AI/ML Lösungen, PyTorch erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Senior Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703390,Senior level,Festanstellung,71 Bewerber,100-500 Mitarbeiter
AI/ML Engineer (m/w/d),CHECK24,"Munich, Bavaria",,Vor 4 Tagen,https://www.stepstone.de/stellenangebote--AI/ML-Engineer-CHECK24--8000003.html,"
Entwicklung von AI/ML Lösungen, Cloud erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703393,Mid level,Unbefristet,89 Bewerber,1.000-5.000 Mitarbeiter
AI Software Engineer (m/w/d),Allianz,München,€73.000 - €93.000,Vor 5 Tagen,https://www.stepstone.de/stellenangebote--AI-Software-Engineer-Allianz--8000004.html,"
Entwicklung von AI/ML Lösungen, Python erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703395,Mid level,Vollzeit,107 Bewerber,100-500 Mitarbeiter
Deep Learning Engineer (m/w/d),Munich Re,"Munich, Bavaria",€75.000 - €95.000,Vor 6 Tagen,https://www.stepstone.de/stellenangebote--Deep-Learning-Engineer-Munich-Re--8000005.html,"
Entwicklung von AI/ML Lösungen, TensorFlow erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703397,Mid level,Full-time,125 Bewerber,100-500 Mitarbeiter
Computer Vision Engineer (m/w/d),ProSiebenSat.1,München,,Vor 7 Tagen,https://www.stepstone.de/stellenangebote--Computer-Vision-Engineer-ProSiebenSat.1--8000006.html,"
Entwicklung von AI/ML Lösungen, PyTorch erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703399,Mid level,Festanstellung,143 Bewerber,1.000-5.000 Mitarbeiter
NLP Engineer (m/w/d),Rohde & Schwarz,"Munich, Bavaria",€79.000 - €99.000,Vor 1 Tag,https://www.stepstone.de/stellenangebote--NLP-Engineer-Rohde-&-Schwarz--8000007.html,"
Entwicklung von AI/ML Lösungen, Cloud erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703402,Mid level,Unbefristet,56 Bewerber,100-500 Mitarbeiter
MLOps Engineer (m/w/d),TÜV SÜD,München,€81.000 - €101.000,Vor 2 Tagen,https://www.stepstone.de/stellenangebote--MLOps-Engineer-TÜV-SÜD--8000008.html,"
Entwicklung von AI/ML Lösungen, Python erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703404,Mid level,Vollzeit,74 Bewerber,100-500 Mitarbeiter
AI Platform Engineer (m/w/d),Celonis,"Munich, Bavaria",,Vor 3 Tagen,https://www.stepstone.de/stellenangebote--AI-Platform-Engineer-Celonis--8000009.html,"
Entwicklung von AI/ML Lösungen, TensorFlow erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703406,Mid level,Full-time,92 Bewerber,100-500 Mitarbeiter
Senior ML Engineer (m/w/d),Personio,München,€85.000 - €105.000,Vor 4 Tagen,https://www.stepstone.de/stellenangebote--Senior-ML-Engineer-Personio--8000010.html,"
Entwicklung von AI/ML Lösungen, PyTorch erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Senior Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703408,Senior level,Festanstellung,110 Bewerber,100-500 Mitarbeiter
Lead AI Engineer (m/w/d),Scalable Capital,"Munich, Bavaria",€87.000 - €107.000,Vor 5 Tagen,https://www.stepstone.de/stellenangebote--Lead-AI-Engineer-Scalable-Capital--8000011.html,"
Entwicklung von AI/ML Lösungen, Cloud erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Senior Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703410,Senior level,Unbefristet,128 Bewerber,100-500 Mitarbeiter
Principal AI Engineer (m/w/d),Flixbus,München,,Vor 6 Tagen,https://www.stepstone.de/stellenangebote--Principal-AI-Engineer-Flixbus--8000012.html,"
Entwicklung von AI/ML Lösungen, Python erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Senior Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703412,Senior level,Vollzeit,146 Bewerber,100-500 Mitarbeiter
AI Research Engineer (m/w/d),Stylight,"Munich, Bavaria",€91.000 - €111.000,Vor 7 Tagen,https://www.stepstone.de/stellenangebote--AI-Research-Engineer-Stylight--8000013.html,"
Entwicklung von AI/ML Lösungen, TensorFlow erforderlich

Wir suchen einen erfahrenen AI Engineer für unser Team in München. 
Hauptaufgaben:
• Entwicklung und Implementierung von ML-Modellen
• Zusammenarbeit mit Data Scientists und Software Engineers  
• Optimierung bestehender AI-Systeme
• Mentoring von Junior-Entwicklern

Anforderungen:
• Abschluss in Informatik, Mathematik oder vergleichbar
• Mid Erfahrung mit Python und ML-Frameworks
• Kenntnisse in Cloud-Technologien (AWS/Azure/GCP)
• Fließende Deutsch- und Englischkenntnisse
",stepstone,2025-06-02T01:46:33.703414,Mid level,Full-time,164 Bewerber,100-500 Mitarbeiter
