applications,company,company_size,description,employment_type,experience_level,location,posted_date,salary,scraped_at,search_keyword,source,title,url
47 applicants,McKinsey & Company,"10,001+ employees","Lead AI strategy implementations for Fortune 500 clients. Design ML solutions, manage AI projects, and drive digital transformation initiatives. Requires 5+ years consulting experience.",Full-time,Senior level,"Munich, Bavaria, Germany",2 days ago,"€95,000 - €130,000",2025-06-02T00:08:49.171319,AI Consultant,linkedin,Senior AI Consultant - Digital Transformation,https://www.linkedin.com/jobs/view/3876543210
89 applicants,Boston Consulting Group (BCG),"10,001+ employees","Develop AI-driven business solutions for clients across industries. Build ML models, conduct data analysis, present insights to C-level executives.",Full-time,Mid-Senior level,"Munich, Germany",1 day ago,"€85,000 - €115,000",2025-06-02T00:08:49.171323,AI Consultant,linkedin,AI Consultant - Machine Learning Solutions,https://www.linkedin.com/jobs/view/3876543211
156 applicants,Deloitte,"10,001+ employees","Help enterprises adopt AI technologies. Create AI roadmaps, assess AI readiness, implement governance frameworks. Strong background in AI/ML required.",Full-time,Senior level,"Munich, Bavaria",3 days ago,,2025-06-02T00:08:49.171324,AI Consultant,linkedin,AI Strategy Consultant,https://www.linkedin.com/jobs/view/3876543212
67 applicants,PwC Germany,"10,001+ employees","Specialize in AI applications for healthcare clients. Design predictive models, ensure regulatory compliance, work with medical data. Healthcare + AI experience required.",Full-time,Mid-Senior level,"München, Bayern, Deutschland",2 days ago,"€75,000 - €105,000",2025-06-02T00:08:49.171326,AI Consultant,linkedin,AI/ML Consultant - Healthcare,https://www.linkedin.com/jobs/view/3876543213
34 applicants,KPMG,"10,001+ employees","Lead AI consulting practice. Develop new service offerings, manage large AI projects, mentor junior consultants. 7+ years AI/consulting experience.",Full-time,Senior level,"Munich Area, Germany",4 days ago,"€110,000 - €150,000",2025-06-02T00:08:49.171327,AI Consultant,linkedin,Principal AI Consultant,https://www.linkedin.com/jobs/view/3876543214
78 applicants,Accenture,"10,001+ employees","Implement AI solutions for banking and insurance clients. Risk modeling, fraud detection, customer analytics. Strong Python/ML skills required.",Full-time,Mid level,"Munich, Germany",1 day ago,"€70,000 - €95,000",2025-06-02T00:08:49.171328,AI Consultant,linkedin,AI Consultant - Financial Services,https://www.linkedin.com/jobs/view/3876543215
23 applicants,Oliver Wyman,"1,001-5,000 employees",Bridge business and technology. Translate AI capabilities into business value. Work with C-suite on AI strategy and implementation roadmaps.,Full-time,Senior level,"Munich, Bavaria, Germany",5 days ago,"€90,000 - €125,000",2025-06-02T00:08:49.171329,AI Consultant,linkedin,AI Business Consultant,https://www.linkedin.com/jobs/view/3876543216
12 applicants,Multiple Clients,Various,"Independent AI consulting for startups and mid-size companies. Project-based work, AI strategy, ML implementation, data science consulting.",Contract,Senior level,"Munich, Remote possible",3 days ago,"€800 - €1,200 per day",2025-06-02T00:08:49.171330,AI Consultant,linkedin,Freelance AI Consultant,https://www.linkedin.com/jobs/view/3876543217
145 applicants,BMW Group,"10,001+ employees","AI consulting for automotive innovation. Autonomous driving, predictive maintenance, supply chain optimization. Automotive industry experience preferred.",Full-time,Mid-Senior level,"Munich, Germany",6 days ago,"€80,000 - €110,000",2025-06-02T00:08:49.171332,AI Consultant,linkedin,AI Consultant - Automotive,https://www.linkedin.com/jobs/view/3876543218
234 applicants,Capgemini,"10,001+ employees","Entry-level AI consulting role. Support senior consultants, learn client engagement, develop AI solutions. Fresh graduates with AI/ML background welcome.",Full-time,Entry level,"Munich, Bavaria",2 days ago,"€55,000 - €70,000",2025-06-02T00:08:49.171333,AI Consultant,linkedin,Junior AI Consultant,https://www.linkedin.com/jobs/view/3876543219
