,,,,,,,,,,,,,
From,Source,Company Name,Sub Niche,Region,Idea,Funnel Type,Price ($),Ad Link,Landing Page,YT Channel,IG,Facebook Page,VSL after Optin
Ans,YouTube Ads,2bAhead,AI for business,,"A webinar, led by futurist Sven Gabor Janszky of the 2b AHEAD ThinkTank, that promises medium-sized businesses a five-pillar strategy for integrating generative AI to boost efficiency and cut costs by up to 70 percent.",Webinar,-,Google Ads,URL,,,,
Ans,Meta Ads,Billy Gene,AI Marketing and content creation,,"pitching a 10-day email/video program that teaches beginners to use AI-driven social-media tactics to earn $10k–$30k a month remotely, backed by a money-back guarantee and a limited-time 50 % discount.",Low Ticket,200 and 100 with discount,Meta Ads Lib,URL,,,,
Ans,Cole Gordon Mastermind,AIpreneurs,AI Agencies ,,"📚 Discover How to Leverage AI to Create a Profitable, AI-powered Agency",Mid Ticket Direct Purchase,$2500/month,,Skool Link,,,,
Ans,Skool Search,AI Foundations,AI Foundations and Automation,,"We make AI easy to understand, from the fundamentals to building agents.",Community,$70/month,,Skool Link,,,,
Ans,Skool Search,AI Automation Plus,AI Automation,,"If you're serious about AI Automation, this community will set you up to succeed in this rapidly evolving world.",Community,$89/month,,Skool Link,,,,
Ans,Skool Search,AI Automations by Jack,AI and AI Automation,,Unlock your unfair advantage with AI and automation that actually works. Join now and build the world's most VALUABLE skill set 💎,Community,$77/month,,Skool Link,,,,
Ans,Skool Search,The Vibe Marketers,AI Marketing (Vibe marketing),,"VIBE MARKETING. I'm the ""boring marketer"" automating growth with ai workflows/agents.",Community,$49/month,,Skool Link,The Boring Marketer,,,
Ans,Skool Search,AI Workshop,AI Automation (n8n),,Building AI Agents using no-code tools like n8n & more...,Community,$77/month,,Skool Link,AI Workshop,,,
Ans,Skool Search,Fraulein KI,AI Foundations for Women (Non Technical),German,"Fräulein KI ist die Community für neugierige Frauen, die die faszinierende Welt der Künstlichen Intelligenz erobern wollen – ganz ohne kompliziertes Tech-Geschwafel!",Community,$49/month,,Skool Link,,,,
Ans,Skool Search,AI mit Arnie,AI Foundations and AI Automation,German,"Der schnellste Weg, alles über KI & KI Agenten zu lernen.
n8n, Flowise, ComfyUI und vieles mehr.
Automatisierung, LLMs, Diffusion und AI Agents.",Community,$59/month,,Skool Link,AI mit Arnie,,,
